rank,len_title,age,n_points,n_comments
1,61,2,53,28
2,70,6,98,21
3,68,14,542,148
4,72,1,53,9
5,25,3,764,535
6,72,1,22,4
7,29,6,195,141
8,17,11,180,23
9,79,1,0,0
10,66,4,163,29
11,79,1,39,31
12,18,13,110,40
13,41,1,4,0
14,18,4,64,58
15,31,14,97,38
16,55,19,378,134
17,38,17,309,88
18,23,20,327,85
19,38,17,203,101
20,37,23,305,134
21,28,24,296,163
22,59,22,213,29
23,51,7,337,72
24,80,5,176,34
25,32,9,106,139
26,39,24,656,64
27,59,24,212,60
28,35,24,468,29
29,75,21,143,15
30,40,24,28,2
31,40,24,28,2
32,62,3,126,80
33,71,20,59,28
34,43,24,133,48
35,44,23,149,62
36,56,48,441,128
37,18,23,107,14
38,74,24,74,6
39,35,21,23,2
40,37,24,296,125
41,72,19,53,33
42,27,24,254,128
43,43,24,102,124
44,54,24,74,16
45,19,22,103,43
46,64,24,142,62
47,72,20,110,73
48,57,19,146,40
49,37,24,192,25
50,50,20,2836,1377
51,52,72,753,239
52,34,24,112,64
53,28,24,95,32
54,56,23,237,250
55,53,23,109,17
56,74,24,103,114
57,77,24,163,58
58,33,20,38,0
59,40,18,54,21
60,25,24,165,22
61,52,24,31,8
62,56,24,62,12
63,32,24,138,63
64,57,24,103,105
65,71,24,288,92
66,73,24,17,4
67,29,24,81,23
68,40,24,189,7
69,60,22,41,6
70,21,24,88,5
71,69,48,224,101
72,68,24,25,15
73,56,19,273,385
74,69,23,18,7
75,71,11,28,14
76,73,24,492,518
77,29,48,232,97
78,77,24,21,2
79,41,24,157,102
80,34,72,436,740
81,70,7,15,2
82,40,24,64,44
83,47,24,44,7
84,32,48,188,39
85,52,48,190,64
86,74,24,95,9
87,20,24,91,54
88,18,48,373,119
89,28,48,397,315
90,58,48,156,38
91,71,48,36,13
92,31,48,217,76
93,40,24,41,14
94,50,24,19,5
95,79,24,81,107
96,41,24,91,17
97,71,24,43,11
98,68,24,88,46
99,47,48,284,245
100,59,24,16,4
101,65,19,24,10
102,48,7,57,28
103,47,48,106,33
104,59,24,25,3
105,29,24,42,6
106,32,48,109,134
107,35,24,143,58
108,62,24,45,5
109,57,24,70,20
110,32,24,246,78
111,26,48,254,500
112,32,14,9,3
113,65,20,3,0
114,70,48,72,10
115,63,24,56,31
116,47,48,111,29
117,47,24,70,19
118,56,24,243,216
119,45,18,59,23
120,48,48,42,13
121,71,48,145,44
122,42,24,47,5
123,31,48,112,104
124,37,24,59,18
125,53,24,47,13
126,52,16,10,5
127,52,48,103,60
128,37,24,10,0
129,61,48,45,15
130,47,1,35,50
131,78,24,39,11
132,49,72,225,190
133,13,24,293,160
134,43,72,230,117
135,60,24,21,20
136,71,24,42,13
137,18,24,10,7
138,52,15,10,0
139,71,48,134,53
140,33,24,40,5
141,42,8,166,201
142,75,24,13,3
143,80,48,149,143
144,60,72,127,94
145,62,24,37,6
146,53,48,30,7
147,28,48,250,26
148,39,72,172,46
149,48,24,43,0
150,40,72,190,106
