DataStructure,Dimension,K,N,Time
KDTree,2,10,100,3.06668e-05
KDTree,2,10,50100,0.000768602
KDTree,2,100,50100,0.00391262
KDTree,2,1000,50100,0.0134723
KDTree,2,10,100100,0.00133773
KDTree,2,100,100100,0.00645149
KDTree,2,1000,100100,0.0237817
KDTree,2,10,150100,0.00136405
KDTree,2,100,150100,0.00699961
KDTree,2,1000,150100,0.026434
KDTree,2,10,200100,0.00176287
KDTree,2,100,200100,0.00921998
KDTree,2,1000,200100,0.0338437
KDTree,2,10,250100,0.00198279
KDTree,2,100,250100,0.00991262
KDTree,2,1000,250100,0.0391108
KDTree,2,10,300100,0.00221045
KDTree,2,100,300100,0.0116677
KDTree,2,1000,300100,0.0479079
KDTree,2,10,350100,0.00256319
KDTree,2,100,350100,0.0137453
KDTree,2,1000,350100,0.0603739
KDTree,2,10,400100,0.00314327
KDTree,2,100,400100,0.0153343
KDTree,2,1000,400100,0.0603736
KDTree,2,10,450100,0.00241918
KDTree,2,100,450100,0.0130276
KDTree,2,1000,450100,0.0539297
KDTree,2,10,500100,0.00254177
KDTree,2,100,500100,0.0134026
KDTree,2,1000,500100,0.0515674
KDTree,2,10,550100,0.00271834
KDTree,2,100,550100,0.0142929
KDTree,2,1000,550100,0.0552596
KDTree,2,10,600100,0.00288108
KDTree,2,100,600100,0.0154486
KDTree,2,1000,600100,0.0782482
KDTree,2,10,650100,0.00395526
KDTree,2,100,650100,0.0207004
KDTree,2,1000,650100,0.0808348
KDTree,2,10,700100,0.00275493
KDTree,2,100,700100,0.0151455
KDTree,2,1000,700100,0.0604303
KDTree,2,10,750100,0.0031313
KDTree,2,100,750100,0.0167478
KDTree,2,1000,750100,0.080027
KDTree,2,10,800100,0.00308229
KDTree,2,100,800100,0.0164208
KDTree,2,1000,800100,0.0631751
KDTree,2,10,850100,0.00427152
KDTree,2,100,850100,0.0235486
KDTree,2,1000,850100,0.0924542
KDTree,2,10,900100,0.00403855
KDTree,2,100,900100,0.0219654
KDTree,2,1000,900100,0.0849703
KDTree,2,10,950100,0.00326524
KDTree,2,100,950100,0.0173055
KDTree,2,1000,950100,0.0658928
KDTree,2,10,100,2.93905e-05
KDTree,2,10,50100,0.000763313
KDTree,2,100,50100,0.00368538
KDTree,2,1000,50100,0.0129991
KDTree,2,10,100100,0.00122194
KDTree,2,100,100100,0.00651364
KDTree,2,1000,100100,0.0385473
KDTree,2,10,150100,0.00383472
KDTree,2,100,150100,0.0111765
KDTree,2,1000,150100,0.0393468
KDTree,2,10,200100,0.0015037
KDTree,2,100,200100,0.00834214
KDTree,2,1000,200100,0.0308975
KDTree,2,10,250100,0.00171371
KDTree,2,100,250100,0.00892029
KDTree,2,1000,250100,0.0336075
KDTree,2,10,300100,0.00240938
KDTree,2,100,300100,0.0119232
KDTree,2,1000,300100,0.0422657
KDTree,2,10,350100,0.00250665
KDTree,2,100,350100,0.0128943
KDTree,2,1000,350100,0.0550227
KDTree,2,10,400100,0.00244307
KDTree,2,100,400100,0.0126356
KDTree,2,1000,400100,0.0475732
KDTree,2,10,450100,0.00241457
KDTree,2,100,450100,0.0126334
KDTree,2,1000,450100,0.0568782
KDTree,2,10,500100,0.00242548
KDTree,2,100,500100,0.0132954
KDTree,2,1000,500100,0.0509817
KDTree,2,10,550100,0.00285216
KDTree,2,100,550100,0.0149061
KDTree,2,1000,550100,0.0566008
